epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.665,1.20679,1.49314,1.38835,0.98025,0.98675,0.99426,0.72971,0.95427,0.79722,1.08283,0.000415971,0.000415971,0.000415971
2,212.274,1.0778,0.90711,1.28548,0.99566,0.99774,0.99461,0.74562,0.95165,0.49985,1.08199,0.000824395,0.000824395,0.000824395
3,314.118,1.02928,0.76606,1.25607,0.9982,0.99936,0.99477,0.71931,1.0596,0.55811,1.12405,0.00122457,0.00122457,0.00122457
4,416.83,0.99985,0.69122,1.23959,0.9991,0.99938,0.99459,0.74283,1.0355,0.44094,1.09079,0.00121287,0.00121287,0.00121287
5,515.655,0.97708,0.65669,1.22357,0.99814,0.99938,0.99487,0.77712,0.86758,0.41337,1.04557,0.0012005,0.0012005,0.0012005
6,617.973,0.94919,0.61559,1.20881,0.99784,0.99938,0.99465,0.84432,0.62878,0.34875,0.93352,0.00118812,0.00118812,0.00118812
7,716.391,0.90629,0.57843,1.17889,0.99757,0.99881,0.99457,0.85684,0.61074,0.36726,0.94043,0.00117575,0.00117575,0.00117575
8,812.07,0.88872,0.56947,1.17108,0.99854,0.99938,0.99475,0.81298,0.7893,0.35132,0.98761,0.00116337,0.00116337,0.00116337
9,911.743,0.87227,0.55105,1.16349,0.99924,0.99938,0.9947,0.81097,0.78029,0.35462,0.9947,0.001151,0.001151,0.001151
10,1008.72,0.86109,0.53339,1.15553,0.99907,0.99938,0.99461,0.82135,0.77954,0.33846,0.96646,0.00113863,0.00113863,0.00113863
11,1112.96,0.84367,0.5214,1.14614,0.99919,0.99938,0.99442,0.78169,0.90929,0.37584,1.03156,0.00112625,0.00112625,0.00112625
12,1209.95,0.83638,0.51721,1.14393,0.99901,0.99938,0.99473,0.82641,0.75183,0.33962,0.97174,0.00111388,0.00111388,0.00111388
13,1308.6,0.82989,0.5143,1.14264,0.9991,0.99919,0.99464,0.84193,0.6907,0.32187,0.93372,0.0011015,0.0011015,0.0011015
14,1404.24,0.81499,0.49892,1.13344,0.99892,0.99938,0.99487,0.84613,0.67875,0.31027,0.93285,0.00108913,0.00108913,0.00108913
15,1505.32,0.80445,0.48726,1.12259,0.99907,0.99938,0.99453,0.84869,0.65623,0.30338,0.92587,0.00107675,0.00107675,0.00107675
16,1602.7,0.80527,0.48846,1.1273,0.99908,0.99938,0.99462,0.85383,0.64788,0.33348,0.91503,0.00106437,0.00106437,0.00106437
17,1702.57,0.7878,0.47662,1.12232,0.99882,0.99938,0.99478,0.86226,0.62185,0.28894,0.9086,0.001052,0.001052,0.001052
18,1799.71,0.78003,0.46527,1.11487,0.99958,0.99969,0.99489,0.86251,0.63687,0.2829,0.91222,0.00103962,0.00103962,0.00103962
19,1900.92,0.76893,0.45897,1.1067,0.99908,0.99938,0.99455,0.8593,0.62654,0.29058,0.91357,0.00102725,0.00102725,0.00102725
20,1999.83,0.77171,0.46226,1.1101,0.99909,0.99932,0.99452,0.87161,0.59252,0.28145,0.90125,0.00101488,0.00101488,0.00101488
21,2099.08,0.76974,0.45762,1.10281,0.99863,0.99929,0.99477,0.86714,0.59834,0.28364,0.89907,0.0010025,0.0010025,0.0010025
