epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,270.978,1.39382,2.17176,1.5317,0.89129,0.89701,0.93905,0.50627,1.5938,1.32625,1.6481,0.00333119,0.00333119,0.00333119
2,539.389,1.20768,1.23155,1.35924,0.91306,0.94292,0.9674,0.671,0.90888,0.66262,1.144,0.00659854,0.00659854,0.00659854
3,793.391,1.20265,1.09277,1.35523,0.95686,0.93737,0.97626,0.58942,1.13645,0.6638,1.25669,0.0097999,0.0097999,0.0097999
4,1055.62,1.19328,0.98656,1.35498,0.93481,0.95876,0.97168,0.62795,1.04779,0.57202,1.22167,0.009703,0.009703,0.009703
5,1307.05,1.14491,0.87997,1.31939,0.92225,0.95525,0.9759,0.67518,0.91324,0.54133,1.14783,0.009604,0.009604,0.009604
6,1554.72,1.10323,0.80979,1.29313,0.96272,0.93981,0.97706,0.68195,0.88251,0.54155,1.10099,0.009505,0.009505,0.009505
7,1798.91,1.07936,0.7722,1.28339,0.94637,0.97653,0.98709,0.68119,0.97815,0.4999,1.1531,0.009406,0.009406,0.009406
8,2042.76,1.05685,0.7389,1.26162,0.96189,0.96017,0.98285,0.71853,0.72808,0.44393,1.01539,0.009307,0.009307,0.009307
9,2289.54,1.0371,0.71517,1.25391,0.95643,0.96322,0.98327,0.74631,0.68259,0.41226,0.99072,0.009208,0.009208,0.009208
10,2545.88,1.02665,0.6931,1.23927,0.94328,0.96748,0.98255,0.74815,0.67936,0.41344,0.99349,0.009109,0.009109,0.009109
11,2793.58,1.01164,0.67994,1.23536,0.95702,0.96679,0.98086,0.72234,0.74136,0.40458,1.00603,0.00901,0.00901,0.00901
12,3040.77,0.99932,0.66853,1.22403,0.96103,0.9722,0.98794,0.72702,0.80205,0.39737,1.03985,0.008911,0.008911,0.008911
13,3286.22,0.98812,0.65379,1.21754,0.9609,0.97294,0.98652,0.72305,0.8228,0.40017,1.04452,0.008812,0.008812,0.008812
14,3534.04,0.97785,0.64272,1.21459,0.95061,0.98106,0.9881,0.75344,0.68981,0.37576,0.97954,0.008713,0.008713,0.008713
15,3784.01,0.9717,0.63591,1.20794,0.96561,0.97027,0.98571,0.768,0.61668,0.3644,0.95037,0.008614,0.008614,0.008614
16,4036.65,0.96022,0.62253,1.20075,0.96115,0.96793,0.98813,0.76173,0.6814,0.36463,0.97633,0.008515,0.008515,0.008515
17,4285.31,0.9572,0.619,1.19945,0.96804,0.96333,0.98689,0.74439,0.72254,0.37386,0.9859,0.008416,0.008416,0.008416
18,4532.49,0.94777,0.60979,1.19614,0.96806,0.96611,0.98666,0.75707,0.66835,0.34925,0.95824,0.008317,0.008317,0.008317
19,4779.83,0.94326,0.60643,1.18937,0.96793,0.96804,0.98853,0.75314,0.73809,0.35797,0.99378,0.008218,0.008218,0.008218
20,5025.4,0.92859,0.5958,1.18325,0.96577,0.96991,0.9886,0.77042,0.61855,0.34355,0.94641,0.008119,0.008119,0.008119
21,5267.09,0.92907,0.59623,1.18528,0.96669,0.9662,0.98874,0.75632,0.70667,0.351,0.98597,0.00802,0.00802,0.00802
22,5518.15,0.9232,0.58698,1.17818,0.95428,0.97309,0.98646,0.77452,0.64696,0.34184,0.95521,0.007921,0.007921,0.007921
23,5761.85,0.92253,0.58752,1.17789,0.96453,0.97045,0.98638,0.76677,0.6528,0.33959,0.95394,0.007822,0.007822,0.007822
24,6006.11,0.91272,0.57837,1.16985,0.95445,0.97861,0.98756,0.77585,0.61192,0.33169,0.93658,0.007723,0.007723,0.007723
25,6256.21,0.91313,0.5771,1.1667,0.95424,0.97902,0.98765,0.76498,0.6642,0.33629,0.95474,0.007624,0.007624,0.007624
26,6498.99,0.90368,0.57032,1.16534,0.94644,0.98289,0.98701,0.77101,0.63061,0.32883,0.93895,0.007525,0.007525,0.007525
27,6742.88,0.89777,0.56671,1.1624,0.96137,0.97333,0.98619,0.77245,0.60985,0.32463,0.93384,0.007426,0.007426,0.007426
28,6989.65,0.89454,0.56062,1.15699,0.96338,0.97396,0.98793,0.78062,0.61113,0.31757,0.93265,0.007327,0.007327,0.007327
29,7243.69,0.89028,0.55405,1.15549,0.9607,0.97232,0.98538,0.78344,0.59782,0.30955,0.92146,0.007228,0.007228,0.007228
30,7489.86,0.8887,0.55082,1.15162,0.96078,0.97388,0.98748,0.7777,0.62528,0.31526,0.92897,0.007129,0.007129,0.007129
31,7734.63,0.88065,0.55125,1.15081,0.96709,0.97097,0.98809,0.78291,0.62395,0.31746,0.93239,0.00703,0.00703,0.00703
32,7986.56,0.88599,0.54818,1.14811,0.96836,0.9643,0.98775,0.78048,0.61005,0.31152,0.92735,0.006931,0.006931,0.006931
33,8233.62,0.87549,0.54526,1.14848,0.95824,0.97547,0.98779,0.7872,0.58078,0.30506,0.91396,0.006832,0.006832,0.006832
34,8480.21,0.8732,0.54035,1.14577,0.96473,0.97236,0.98757,0.78862,0.57364,0.30274,0.90958,0.006733,0.006733,0.006733
35,8723.33,0.86782,0.54144,1.14728,0.96708,0.97272,0.98919,0.79498,0.5587,0.30086,0.90613,0.006634,0.006634,0.006634
36,8969.35,0.86671,0.53593,1.14268,0.96844,0.97254,0.98856,0.793,0.5837,0.30171,0.91338,0.006535,0.006535,0.006535
37,9213.81,0.86383,0.53604,1.14055,0.96563,0.97291,0.98865,0.7966,0.56645,0.29785,0.90834,0.006436,0.006436,0.006436
38,9460.74,0.86164,0.5339,1.13809,0.96831,0.97125,0.98946,0.79175,0.57572,0.29952,0.91254,0.006337,0.006337,0.006337
39,9703.49,0.86029,0.53463,1.14319,0.96592,0.97109,0.98862,0.79513,0.56935,0.29732,0.90878,0.006238,0.006238,0.006238
40,9945.57,0.85568,0.52551,1.13475,0.97093,0.96312,0.98863,0.79807,0.54409,0.29047,0.90138,0.006139,0.006139,0.006139
41,10196.6,0.85023,0.5252,1.13817,0.96072,0.9766,0.98869,0.79942,0.55715,0.29223,0.90311,0.00604,0.00604,0.00604
42,10439.7,0.85056,0.52012,1.12803,0.96394,0.97156,0.98853,0.79465,0.56463,0.29272,0.90767,0.005941,0.005941,0.005941
