epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.513,1.29221,1.94415,1.53706,0.98915,0.9941,0.99371,0.51281,1.76736,1.14429,1.84864,0.00333053,0.00333053,0.00333053
2,403.893,1.0983,1.13292,1.3682,0.96964,0.98612,0.99212,0.7464,0.89832,0.67095,1.15697,0.00659789,0.00659789,0.00659789
3,597.825,1.10362,0.99678,1.37541,0.99537,0.99493,0.99489,0.6201,1.41337,0.66288,1.60146,0.00979925,0.00979925,0.00979925
4,789.373,1.09737,0.89865,1.37219,0.998,0.99614,0.995,0.75272,0.97206,0.50558,1.20006,0.009703,0.009703,0.009703
5,978.613,1.04958,0.79675,1.34255,0.99628,0.99854,0.99498,0.81977,0.71314,0.40128,1.05605,0.009604,0.009604,0.009604
6,1172.73,1.00566,0.73297,1.31489,0.99906,0.99949,0.995,0.82231,0.70894,0.37876,1.02724,0.009505,0.009505,0.009505
7,1363.58,0.98361,0.69666,1.30225,0.9983,0.99668,0.99494,0.73526,1.0225,0.54788,1.25711,0.009406,0.009406,0.009406
8,1556,0.95649,0.66124,1.27885,0.99888,0.99976,0.995,0.85681,0.59751,0.31934,0.97523,0.009307,0.009307,0.009307
9,1748.04,0.93277,0.63792,1.26729,0.99929,0.99903,0.995,0.84005,0.65561,0.32519,1.00505,0.009208,0.009208,0.009208
10,1940.31,0.91571,0.61527,1.25502,0.99833,0.99937,0.99499,0.84156,0.66773,0.33723,1.01655,0.009109,0.009109,0.009109
11,2127.51,0.90058,0.59697,1.2476,0.99741,0.99962,0.99494,0.8627,0.57754,0.31936,0.95898,0.00901,0.00901,0.00901
12,2317.95,0.88847,0.58869,1.23855,0.99981,0.99969,0.995,0.8716,0.56732,0.29163,0.96114,0.008911,0.008911,0.008911
13,2508.26,0.87756,0.5755,1.23235,0.99989,0.99986,0.995,0.89575,0.46672,0.27868,0.90184,0.008812,0.008812,0.008812
14,2697.95,0.86574,0.56178,1.22441,0.99982,0.9999,0.995,0.8827,0.53718,0.28121,0.92833,0.008713,0.008713,0.008713
15,2889.56,0.85374,0.55347,1.21594,0.99944,0.99959,0.995,0.87814,0.55232,0.2723,0.92569,0.008614,0.008614,0.008614
16,3081.99,0.84414,0.54291,1.20781,0.99892,0.99991,0.995,0.88673,0.51185,0.26635,0.91359,0.008515,0.008515,0.008515
17,3269.6,0.83673,0.53515,1.20382,0.99985,0.99972,0.995,0.89756,0.50562,0.26179,0.904,0.008416,0.008416,0.008416
18,3462,0.8286,0.52744,1.19325,0.99974,0.99969,0.995,0.88589,0.53576,0.2681,0.93849,0.008317,0.008317,0.008317
